sender_name,sender_dni,sender_phone,sender_email,sender_street,sender_city,sender_province,sender_postal_code,recipient_name,recipient_dni,recipient_phone,recipient_email,recipient_street,recipient_city,recipient_province,recipient_postal_code,weight_kg,package_type,shipment_type,time_window,delivery_method,is_fragile,special_instructions,receiving_branch_id,recipient_latitude,recipient_longitude
"Farmacorp SA","30112234567","541155223344","logistica@farmacorp.com.ar","Av. Pueyrredón 1400","Ciudad de Buenos Aires","Buenos Aires","C1118","Distribuidora del Centro","29445566","543514001100","contacto@distcentro.com","Bv. Illia 600","Córdoba","Córdoba","X5000","32","box","normal","flexible","ultima_milla","false","","caba","-31.4232","-64.1812"
"Farmacorp SA","30112234567","541155223344","logistica@farmacorp.com.ar","Av. Pueyrredón 1400","Ciudad de Buenos Aires","Buenos Aires","C1118","Taller Mecánico Córdoba","32445566","543514778800","","Av. Patria 990","Córdoba","Córdoba","X5000","35","box","normal","flexible","ultima_milla","false","","caba","-31.4255","-64.1762"
"Cono Sur Editorial","30223345678","541166334455","envios@conosur.com.ar","Corrientes 2100","Ciudad de Buenos Aires","Buenos Aires","C1045","Librería Universitaria","28765432","543514112299","compras@libreriauni.com","Obispo Trejo 220","Córdoba","Córdoba","X5000","28","box","normal","morning","ultima_milla","false","","caba","-31.4172","-64.1855"
"Cono Sur Editorial","30223345678","541166334455","envios@conosur.com.ar","Corrientes 2100","Ciudad de Buenos Aires","Buenos Aires","C1045","Multitienda Córdoba","30667788","543514889977","","Independencia 700","Córdoba","Córdoba","X5000","33","box","normal","flexible","ultima_milla","false","","caba","-31.4208","-64.1833"
"Textil Porteño","30334456789","541177445566","","Av. Warnes 2400","Ciudad de Buenos Aires","Buenos Aires","C1416","Confecciones Alberdi","27889900","543514556688","","Av. Costanera 2000","Córdoba","Córdoba","X5000","38","box","normal","afternoon","ultima_milla","false","Bulto frágil — no apilar","caba","-31.4068","-64.2054"
"Textil Porteño","30334456789","541177445566","","Av. Warnes 2400","Ciudad de Buenos Aires","Buenos Aires","C1416","Jorge Herrera","26334455","543514334411","","Deán Funes 1200","Córdoba","Córdoba","X5000","30","box","normal","flexible","ultima_milla","false","","caba","-31.4095","-64.1873"
"Distribuidora Norte","30445567890","541188556677","despacho@distnorte.com","Av. Congreso 3200","Ciudad de Buenos Aires","Buenos Aires","C1428","Hospital Privado Córdoba","31334455","543514443322","compras@hpc.com.ar","Naciones Unidas 346","Córdoba","Córdoba","X5016","35","box","express","morning","ultima_milla","false","Insumos médicos — urgente","caba","-31.4292","-64.1938"
"Distribuidora Norte","30445567890","541188556677","despacho@distnorte.com","Av. Congreso 3200","Ciudad de Buenos Aires","Buenos Aires","C1428","Ana González","24556677","543514221133","ana.gonzalez@gmail.com","Laprida 1100","Córdoba","Córdoba","X5000","32","box","normal","morning","ultima_milla","false","","caba","-31.4155","-64.1935"
"Repuestos del Plata","30556678901","541199667788","","Av. La Plata 1900","Ciudad de Buenos Aires","Buenos Aires","C1235","Marcelo Sánchez","23667788","543514112244","","Caseros 1500","Córdoba","Córdoba","X5000","28","box","normal","flexible","ultima_milla","false","","caba","-31.4088","-64.1934"
"Repuestos del Plata","30556678901","541199667788","","Av. La Plata 1900","Ciudad de Buenos Aires","Buenos Aires","C1235","Luciana Vargas","25778899","543514778866","luciana.v@trabajo.com","Marcelo T. de Alvear 400","Córdoba","Córdoba","X5000","36","box","normal","afternoon","ultima_milla","false","","caba","-31.4142","-64.1901"
"Farmacorp SA","30112234567","541155223344","logistica@farmacorp.com.ar","Av. Pueyrredón 1400","Ciudad de Buenos Aires","Buenos Aires","C1118","Rodrigo Molina","22889900","543514445577","","Av. Vélez Sársfield 1400","Córdoba","Córdoba","X5000","33","box","normal","flexible","ultima_milla","false","","caba","-31.4325","-64.1978"
"Cono Sur Editorial","30223345678","541166334455","envios@conosur.com.ar","Corrientes 2100","Ciudad de Buenos Aires","Buenos Aires","C1045","Patricia Ríos","20990011","543514667799","","Buenos Aires 1300","Córdoba","Córdoba","X5000","30","box","express","morning","ultima_milla","false","","caba","-31.4198","-64.1856"
"Textil Porteño","30334456789","541177445566","","Av. Warnes 2400","Ciudad de Buenos Aires","Buenos Aires","C1416","Fernando Castro","27001122","543514889944","","Lima 700","Córdoba","Córdoba","X5000","35","box","normal","flexible","ultima_milla","false","","caba","-31.4225","-64.1779"
"Distribuidora Norte","30445567890","541188556677","despacho@distnorte.com","Av. Congreso 3200","Ciudad de Buenos Aires","Buenos Aires","C1428","Cecilia Aguirre","29112233","543514001177","cecilia.a@empresa.com","Av. Colón 800","Córdoba","Córdoba","X5000","38","box","normal","afternoon","ultima_milla","false","","caba","-31.4120","-64.1895"
"Repuestos del Plata","30556678901","541199667788","","Av. La Plata 1900","Ciudad de Buenos Aires","Buenos Aires","C1235","Gabriel Sosa","31223344","543514223355","","Av. Rafael Núñez 3200","Córdoba","Córdoba","X5000","28","box","normal","flexible","ultima_milla","false","","caba","-31.3935","-64.1915"
"Farmacorp SA","30112234567","541155223344","logistica@farmacorp.com.ar","Av. Pueyrredón 1400","Ciudad de Buenos Aires","Buenos Aires","C1118","Valeria Romero","28334455","543514445588","","Rodríguez del Busto 2100","Córdoba","Córdoba","X5000","33","box","normal","flexible","ultima_milla","false","","caba","-31.3892","-64.2156"
"Cono Sur Editorial","30223345678","541166334455","envios@conosur.com.ar","Corrientes 2100","Ciudad de Buenos Aires","Buenos Aires","C1045","Diego Villalba","26445566","543514556699","","Jorge Newbery 1800","Córdoba","Córdoba","X5000","30","box","express","morning","ultima_milla","false","","caba","-31.4412","-64.2086"
