sender_name,sender_dni,sender_phone,sender_email,sender_street,sender_city,sender_province,sender_postal_code,recipient_name,recipient_dni,recipient_phone,recipient_email,recipient_street,recipient_city,recipient_province,recipient_postal_code,weight_kg,package_type,shipment_type,time_window,delivery_method,is_fragile,special_instructions,receiving_branch_id,recipient_latitude,recipient_longitude
"Distribuidora Alimenticia SA","20111222333","541155500001","envios@distalim.com","Av. Corrientes 3200","Ciudad de Buenos Aires","Buenos Aires","C1042","Supermercado El Colono","30111666222","543514001111","compras@elcolono.com","Av. Colón 1800","Córdoba","Córdoba","X5000","85","box","normal","flexible","ultima_milla","false","","cordoba","-31.4135","-64.1852"
"Distribuidora Alimenticia SA","20111222333","541155500001","envios@distalim.com","Av. Corrientes 3200","Ciudad de Buenos Aires","Buenos Aires","C1042","Distribuidora Del Centro","30222555111","543514002222","","Av. Maipú 2200","Córdoba","Córdoba","X5000","92","box","express","morning","ultima_milla","false","","cordoba","-31.4160","-64.1878"
"Distribuidora Alimenticia SA","20111222333","541155500001","envios@distalim.com","Av. Corrientes 3200","Ciudad de Buenos Aires","Buenos Aires","C1042","Ferrocor SA","30333444222","543514003333","","Bv. San Juan 550","Córdoba","Córdoba","X5000","78","box","normal","afternoon","ultima_milla","false","","cordoba","-31.4182","-64.1822"
"Farmacéutica Sur SA","20333555666","541155500002","logistica@farmaciasur.com","Av. Belgrano 2800","Ciudad de Buenos Aires","Buenos Aires","C1225","Farmacia Córdoba Centro","30444555777","543514004444","pedidos@farmaciacba.com","Av. Vélez Sarsfield 800","Córdoba","Córdoba","X5000","12","box","express","morning","ultima_milla","true","Medicamentos refrigerados - mantener entre 2 y 8 C","cordoba","-31.4205","-64.1901"
"Farmacéutica Sur SA","20333555666","541155500002","logistica@farmaciasur.com","Av. Belgrano 2800","Ciudad de Buenos Aires","Buenos Aires","C1225","Sanatorio Córdoba","30555666888","543514005555","insumos@sanatoriocba.com","Av. Pablo Richieri 1200","Córdoba","Córdoba","X5000","18","box","express","afternoon","ultima_milla","true","Insumos quirúrgicos - manejo especial","cordoba","-31.4228","-64.1755"
"ElectroHogar SA","20444555777","541155500003","ventas@electrohogar.com","Av. Rivadavia 4500","Ciudad de Buenos Aires","Buenos Aires","C1424","Mueblería Córdoba","30666777999","543514006666","","Av. Patria 1500","Córdoba","Córdoba","X5000","110","box","normal","flexible","ultima_milla","true","Vajilla cristalería fina","cordoba","-31.4250","-64.1788"
"Indumentaria Deportiva SA","20555666888","541155500004","distribucion@indeporte.com","Av. Santa Fe 3800","Ciudad de Buenos Aires","Buenos Aires","C1425","Multi Deportes Córdoba","30777888111","543514007777","","9 de Julio 1200","Córdoba","Córdoba","X5000","35","box","normal","morning","ultima_milla","false","","cordoba","-31.4145","-64.1845"
"Bazar Todo Hogar","20666777999","541155500005","","Av. Alberdi 2200","Ciudad de Buenos Aires","Buenos Aires","C1424","Librería Universitaria","30888999222","543514008888","compras@libuniv.com","Obispo Trejo 450","Córdoba","Córdoba","X5000","8","box","normal","flexible","ultima_milla","false","","cordoba","-31.4178","-64.1862"
"Vinos Argentinos SA","20777888111","541155500006","export@vinosarg.com","Av. Del Libertador 6500","Ciudad de Buenos Aires","Buenos Aires","C1429","Bodega Mendoza","30999000333","542614001111","pedidos@bodegamza.com","Av. San Martín 3500","Mendoza","Mendoza","M5500","140","box","express","morning","ultima_milla","true","Botellas de vino - frágil","mendoza","-32.8880","-68.8465"
"Aceitunas del Sol SA","20888999222","541155500007","","Av. Mitre 1200","Ciudad de Buenos Aires","Buenos Aires","C1424","Distribuidora Mendoza","30100111222","542614002222","","Av. Las Heras 800","Mendoza","Mendoza","M5500","60","box","normal","flexible","ultima_milla","false","","mendoza","-32.8845","-68.8412"
"Importadora Andina","20999000333","541155500008","","Av. Lope de Vega 3500","Ciudad de Buenos Aires","Buenos Aires","C1440","Almacén Natural Mendoza","30222333444","542614003333","pedidos@naturalmza.com","Av. Godoy Cruz 1200","Mendoza","Mendoza","M5500","45","box","normal","morning","ultima_milla","false","","mendoza","-32.8910","-68.8488"
"Textil Lanar SA","20100111444","541155500009","ventas@textillanar.com","Av. Avellaneda 1800","Ciudad de Buenos Aires","Buenos Aires","C1405","Tienda de Telas Mendoza","30333444555","542614004444","info@telasmza.com","9 de Julio 800","Mendoza","Mendoza","M5500","55","box","normal","afternoon","ultima_milla","false","","mendoza","-32.8872","-68.8445"
"Bodega del Valle","20222333555","541155500010","","Av. San Martín 4500","Ciudad de Buenos Aires","Buenos Aires","C1440","Restaurante Mendoza","31222444666","542614005555","","Av. Colón 2500","Mendoza","Mendoza","M5500","25","box","express","morning","ultima_milla","false","","mendoza","-32.8860","-68.8430"
"Editorial Bonaerense","20333444666","541155500011","distribucion@editorial.com","Av. Independencia 2600","Ciudad de Buenos Aires","Buenos Aires","C1225","Librería del Litoral","30333555777","543764001122","ventas@librerialitoral.com","Av. Mitre 3800","Posadas","Misiones","N3300","35","box","normal","flexible","ultima_milla","false","","posadas","-27.3678","-55.8893"
"Fábrica de Muebles El Ébano","20444555778","541155500012","ventas@elebano.com","Av. Roca 3800","Ciudad de Buenos Aires","Buenos Aires","C1437","Mueblería Guaraní","30555666889","543764002233","pedidos@mueblesguarani.com","Av. Uruguay 2500","Posadas","Misiones","N3300","160","box","express","morning","ultima_milla","false","Mueble desarmado - 3 bultos","posadas","-27.3712","-55.8942"
"Distribuidora Norte","20555677999","541155500013","","Av. Cabildo 4500","Ciudad de Buenos Aires","Buenos Aires","C1429","Almacén Posadas","30666788100","543764003344","","Av. San Martín 1800","Posadas","Misiones","N3300","22","box","normal","flexible","ultima_milla","false","","posadas","-27.3645","-55.8867"
"Farmacia Wellnes","20334455000","541155500014","","Av. Cabildo 2800","Ciudad de Buenos Aires","Buenos Aires","C1428","Luis Gómez","31234000666","541199001100","","Av. Nazca 3800","Ciudad de Buenos Aires","Buenos Aires","C1417","2","box","normal","afternoon","ultima_milla","true","Medicamentos refrigerados","caba","-34.6277","-58.4664"
"Farmacia Wellnes","20334455000","541155500014","","Av. Cabildo 2800","Ciudad de Buenos Aires","Buenos Aires","C1428","Ana Rodríguez","31234000777","541199001101","","Av. Gaona 3200","Ciudad de Buenos Aires","Buenos Aires","C1416","3","box","normal","morning","ultima_milla","true","Medicamentos refrigerados","caba","-34.6205","-58.4627"
"ElectroHogar SA","20444555777","541155500003","ventas@electrohogar.com","Av. Rivadavia 4500","Ciudad de Buenos Aires","Buenos Aires","C1424","Pedro Martínez","31234000888","541199001102","","Av. Carabobo 2200","Ciudad de Buenos Aires","Buenos Aires","C1406","12","box","normal","flexible","ultima_milla","false","","caba","-34.6319","-58.4497"
"Distribuidora Alimenticia SA","20111222333","541155500001","envios@distalim.com","Av. Corrientes 3200","Ciudad de Buenos Aires","Buenos Aires","C1042","Almacén Doña Rosa","31234000999","541199001103","","Av. San Martín 5800","Ciudad de Buenos Aires","Buenos Aires","C1440","25","box","normal","morning","ultima_milla","false","","caba","-34.6508","-58.5130"
"Tienda Nube SA","20111000333","541155500015","envios@tiendanube.com","Av. Santa Fe 1400","Ciudad de Buenos Aires","Buenos Aires","C1059","María García","31234001000","541199001104","","Av. Rivadavia 5800","Ciudad de Buenos Aires","Buenos Aires","C1424","3","box","normal","flexible","retiro_sucursal","false","","caba","-34.6115","-58.4401"
"Tienda Nube SA","20111000333","541155500015","envios@tiendanube.com","Av. Santa Fe 1400","Ciudad de Buenos Aires","Buenos Aires","C1059","Roberto Fernández","31234001111","541199001105","","Av. Monroe 2800","Ciudad de Buenos Aires","Buenos Aires","C1428","1","envelope","express","flexible","retiro_sucursal","false","Documentos legales","caba","-34.5692","-58.4658"
"Cono Sur Editorial","30223000666","541155500016","distribucion@conosur.com","Av. Corrientes 2200","Ciudad de Buenos Aires","Buenos Aires","C1045","Carlos Ruiz","31234001222","541199001106","","Av. Honorio Pueyrredón 1400","Ciudad de Buenos Aires","Buenos Aires","C1426","0.8","envelope","express","morning","ultima_milla","false","Documentos editoriales urgentes","caba","-34.5849","-58.4288"
"Farmacia Wellnes","20334455000","541155500014","","Av. Cabildo 2800","Ciudad de Buenos Aires","Buenos Aires","C1428","Clínica Buenos Aires","31234001333","541199001107","compras@clinicaba.com","Av. Pueyrredón 1600","Ciudad de Buenos Aires","Buenos Aires","C1118","8","box","express","morning","ultima_milla","true","Insumos clínicos - urgente","caba","-34.5885","-58.3975"
"Panadería El Trigal","30112200999","541155500017","","Av. San Martín 5800","Ciudad de Buenos Aires","Buenos Aires","C1440","Almacén La Esquina","31234001444","541199001108","","Av. Corvalán 2400","Ciudad de Buenos Aires","Buenos Aires","C1439","50","box","normal","flexible","ultima_milla","false","","caba","-34.6388","-58.4722"
"Laboratorio Farmacéutico Sur","20222200888","541155500018","logistica@labofarm.com","Av. Belgrano 3200","Ciudad de Buenos Aires","Buenos Aires","C1225","Hospital Méndez","31234001555","541199001109","","Av. Varela 1500","Ciudad de Buenos Aires","Buenos Aires","C1407","15","box","express","afternoon","ultima_milla","true","Reactivos de laboratorio","caba","-34.6360","-58.4552"
"Verdulería Doña Marta","20333666777","541155500019","","Av. San Pedrito 3200","Ciudad de Buenos Aires","Buenos Aires","C1440","Pablo Acosta","31234001666","541199001110","","Av. Escalada 1800","Ciudad de Buenos Aires","Buenos Aires","C1437","5","box","normal","morning","ultima_milla","false","","caba","-34.6522","-58.4815"
"Distribuidora Alimenticia SA","20111222333","541155500001","envios@distalim.com","Av. Corrientes 3200","Ciudad de Buenos Aires","Buenos Aires","C1042","Almacén Natural Córdoba","30111455778","543514009999","pedidos@naturalcba.com","Av. Recta Martinoli 2800","Córdoba","Córdoba","X5000","42","box","normal","flexible","ultima_milla","false","","cordoba","-31.4285","-64.1680"
"Farmacéutica Sur SA","20333555666","541155500002","logistica@farmaciasur.com","Av. Belgrano 2800","Ciudad de Buenos Aires","Buenos Aires","C1225","DistriFarma Córdoba","31222000777","543514010101","compras@distrifarmacba.com","Av. Rancagua 1200","Córdoba","Córdoba","X5000","6","box","express","morning","ultima_milla","true","Vacunas - cadena de frío","cordoba","-31.4300","-64.1710"
"Vinos Argentinos SA","20777888111","541155500006","export@vinosarg.com","Av. Del Libertador 6500","Ciudad de Buenos Aires","Buenos Aires","C1429","Licorería Andina","31333000888","542614006666","pedidos@licoreraandina.com","Av. San Juan 350","Mendoza","Mendoza","M5500","30","box","express","morning","ultima_milla","true","Botellas de vino malbec - frágil","mendoza","-32.8835","-68.8395"
"Importadora Andina","20999000333","541155500008","","Av. Lope de Vega 3500","Ciudad de Buenos Aires","Buenos Aires","C1440","Feria de Productos Mendocinos","31444000999","542614007777","","Av. Boulogne Sur Mer 800","Mendoza","Mendoza","M5500","48","box","normal","flexible","ultima_milla","false","","mendoza","-32.8925","-68.8470"
"Editorial Bonaerense","20333444666","541155500011","distribucion@editorial.com","Av. Independencia 2600","Ciudad de Buenos Aires","Buenos Aires","C1225","Sociedad de Fomento Posadas","31555000111","543764004455","","Av. Alem 1800","Posadas","Misiones","N3300","18","box","normal","flexible","ultima_milla","false","","posadas","-27.3695","-55.8912"
"Textil Lanar SA","20100111444","541155500009","ventas@textillanar.com","Av. Avellaneda 1800","Ciudad de Buenos Aires","Buenos Aires","C1405","Moda Posadas","31666000222","543764005566","compras@modaposadas.com","Av. Lavalle 1200","Posadas","Misiones","N3300","28","box","express","morning","ultima_milla","false","","posadas","-27.3660","-55.8840"
"Distribuidora Alimenticia SA","20111222333","541155500001","envios@distalim.com","Av. Corrientes 3200","Ciudad de Buenos Aires","Buenos Aires","C1042","Comedor Universitario Córdoba","31777000333","543514011111","","Av. Valparaíso 2200","Córdoba","Córdoba","X5000","55","box","normal","flexible","ultima_milla","false","","cordoba","-31.4330","-64.1740"
