sender_name,sender_dni,sender_phone,sender_email,sender_street,sender_city,sender_province,sender_postal_code,recipient_name,recipient_dni,recipient_phone,recipient_email,recipient_street,recipient_city,recipient_province,recipient_postal_code,weight_kg,package_type,shipment_type,time_window,delivery_method,is_fragile,special_instructions,receiving_branch_id,recipient_latitude,recipient_longitude
"Importadora Córdoba SA","30667788112","543514001200","logistica@importadoracba.com","Av. Colón 567","Córdoba","Córdoba","X5000","Laura Gómez","31204567","541166778899","laura.g@gmail.com","Av. Corrientes 1500","Ciudad de Buenos Aires","Buenos Aires","C1042","32","box","normal","flexible","ultima_milla","false","","cordoba","-34.6045","-58.3878"
"Importadora Córdoba SA","30667788112","543514001200","logistica@importadoracba.com","Av. Colón 567","Córdoba","Córdoba","X5000","Federico Salas","32556677","541199887700","fede.salas@gmail.com","Av. Cabildo 2400","Ciudad de Buenos Aires","Buenos Aires","C1428","35","box","normal","morning","ultima_milla","false","","cordoba","-34.5605","-58.4585"
"Pampa Distribuidora","30778899223","543514112300","despacho@pampadist.com","Av. Vélez Sársfield 1300","Córdoba","Córdoba","X5000","Juliana Costa","28123456","541133221144","","Av. Santa Fe 3200","Ciudad de Buenos Aires","Buenos Aires","C1425","28","box","normal","flexible","ultima_milla","false","","cordoba","-34.5894","-58.4106"
"Pampa Distribuidora","30778899223","543514112300","despacho@pampadist.com","Av. Vélez Sársfield 1300","Córdoba","Córdoba","X5000","Pablo Acosta","33445566","541188776655","","Av. Rivadavia 4500","Ciudad de Buenos Aires","Buenos Aires","C1424","33","box","normal","afternoon","ultima_milla","false","","cordoba","-34.6109","-58.4356"
"Repuestos Centro","30889900334","543514223400","","9 de Julio 800","Córdoba","Córdoba","X5000","Lucía Vera","30776655","541177665544","lucia.v@empresa.com","Honduras 5400","Ciudad de Buenos Aires","Buenos Aires","C1414","38","box","normal","flexible","ultima_milla","false","","cordoba","-34.5856","-58.4338"
"Repuestos Centro","30889900334","543514223400","","9 de Julio 800","Córdoba","Córdoba","X5000","Tomás Iglesias","29554433","541144556699","","Av. Las Heras 2900","Ciudad de Buenos Aires","Buenos Aires","C1425","30","box","express","morning","ultima_milla","false","","cordoba","-34.5862","-58.4015"
"Editorial Andina","30990011445","543514334500","envios@editorialandina.com","Hipólito Yrigoyen 1500","Córdoba","Córdoba","X5000","Martín Peralta","27882211","541155332266","martin.p@gmail.com","Gurruchaga 1800","Ciudad de Buenos Aires","Buenos Aires","C1414","32","box","normal","flexible","ultima_milla","false","","cordoba","-34.5923","-58.4421"
"Editorial Andina","30990011445","543514334500","envios@editorialandina.com","Hipólito Yrigoyen 1500","Córdoba","Córdoba","X5000","Valeria Luna","25993322","541166443377","valeria.l@trabajo.com","Av. Córdoba 4100","Ciudad de Buenos Aires","Buenos Aires","C1188","35","box","normal","morning","ultima_milla","false","","cordoba","-34.5944","-58.4210"
"Farmavida","31001122556","543514445600","compras@farmavida.com.ar","Bv. San Juan 540","Córdoba","Córdoba","X5000","Diego Ibarra","31004433","541177554488","","Thames 2000","Ciudad de Buenos Aires","Buenos Aires","C1414","28","box","express","morning","ultima_milla","false","","cordoba","-34.5875","-58.4468"
"Farmavida","31001122556","543514445600","compras@farmavida.com.ar","Bv. San Juan 540","Córdoba","Córdoba","X5000","Cecilia Blanco","28115544","541188665599","cecilia.b@gmail.com","Humboldt 1400","Ciudad de Buenos Aires","Buenos Aires","C1414","33","box","normal","afternoon","ultima_milla","false","","cordoba","-34.5901","-58.4403"
"Importadora Córdoba SA","30667788112","543514001200","logistica@importadoracba.com","Av. Colón 567","Córdoba","Córdoba","X5000","Ricardo Álvarez","26226655","541199776600","","Av. Medrano 600","Ciudad de Buenos Aires","Buenos Aires","C1178","38","box","normal","flexible","ultima_milla","false","","cordoba","-34.6047","-58.4269"
"Pampa Distribuidora","30778899223","543514112300","despacho@pampadist.com","Av. Vélez Sársfield 1300","Córdoba","Córdoba","X5000","Alejandra Muñoz","29337766","541144887711","alejandra.m@empresa.com","Av. Callao 1300","Ciudad de Buenos Aires","Buenos Aires","C1023","30","box","normal","morning","ultima_milla","false","","cordoba","-34.5961","-58.3939"
"Repuestos Centro","30889900334","543514223400","","9 de Julio 800","Córdoba","Córdoba","X5000","Héctor Fontana","27448877","541155998822","","Carlos Calvo 2200","Ciudad de Buenos Aires","Buenos Aires","C1148","35","box","normal","flexible","ultima_milla","false","","cordoba","-34.6198","-58.3978"
"Editorial Andina","30990011445","543514334500","envios@editorialandina.com","Hipólito Yrigoyen 1500","Córdoba","Córdoba","X5000","Mónica Herrera","31559988","541166009933","monica.h@trabajo.com","Av. Independencia 2100","Ciudad de Buenos Aires","Buenos Aires","C1225","32","box","normal","afternoon","ultima_milla","false","","cordoba","-34.6195","-58.4102"
"Farmavida","31001122556","543514445600","compras@farmavida.com.ar","Bv. San Juan 540","Córdoba","Córdoba","X5000","Sebastián Roca","24660099","541177110044","","México 2400","Ciudad de Buenos Aires","Buenos Aires","C1223","28","box","normal","flexible","ultima_milla","false","","cordoba","-34.6149","-58.4121"
"Importadora Córdoba SA","30667788112","543514001200","logistica@importadoracba.com","Av. Colón 567","Córdoba","Córdoba","X5000","Flavia Núñez","28771100","541188221155","flavia.n@gmail.com","Perú 780","Ciudad de Buenos Aires","Buenos Aires","C1068","33","box","express","morning","ultima_milla","false","","cordoba","-34.6185","-58.3742"
"Pampa Distribuidora","30778899223","543514112300","despacho@pampadist.com","Av. Vélez Sársfield 1300","Córdoba","Córdoba","X5000","Andrés Godoy","26882211","541199332266","","Defensa 1100","Ciudad de Buenos Aires","Buenos Aires","C1065","30","box","normal","flexible","ultima_milla","false","","cordoba","-34.6231","-58.3731"
"Repuestos Centro","30889900334","543514223400","","9 de Julio 800","Córdoba","Córdoba","X5000","Natalia Cruz","29993322","541144443377","natalia.c@empresa.com","Humberto Primo 1600","Ciudad de Buenos Aires","Buenos Aires","C1103","35","box","normal","morning","ultima_milla","false","","cordoba","-34.6221","-58.3951"
"Editorial Andina","30990011445","543514334500","envios@editorialandina.com","Hipólito Yrigoyen 1500","Córdoba","Córdoba","X5000","Gabriel Torres","27104433","541155554488","","Virrey Cevallos 500","Ciudad de Buenos Aires","Buenos Aires","C1081","32","box","normal","flexible","ultima_milla","false","","cordoba","-34.6178","-58.3889"
