sender_name,sender_dni,sender_phone,sender_email,sender_street,sender_city,sender_province,sender_postal_code,recipient_name,recipient_dni,recipient_phone,recipient_email,recipient_street,recipient_city,recipient_province,recipient_postal_code,weight_kg,package_type,shipment_type,time_window,delivery_method,is_fragile,special_instructions,receiving_branch_id,recipient_latitude,recipient_longitude
"Bodega del Plata","30667711223","542614001200","ventas@bodegadelplata.com","Av. San Martín 2100","Mendoza","Mendoza","M5500","Ana Lima","28991122","541166778811","ana.lima@gmail.com","Av. Corrientes 2400","Ciudad de Buenos Aires","Buenos Aires","C1043","33","box","normal","flexible","ultima_milla","false","","mendoza","-34.6023","-58.3952"
"Bodega del Plata","30667711223","542614001200","ventas@bodegadelplata.com","Av. San Martín 2100","Mendoza","Mendoza","M5500","Carlos Vidal","31102233","541177889922","","Av. Santa Fe 3200","Ciudad de Buenos Aires","Buenos Aires","C1425","35","box","normal","morning","ultima_milla","false","","mendoza","-34.5894","-58.4106"
"Olivos Andinos SRL","30778822334","542614112300","logistica@olivosandinos.com","Av. España 800","Mendoza","Mendoza","M5500","Mariana Ríos","29213344","541188990033","mariana.r@empresa.com","Gurruchaga 1800","Ciudad de Buenos Aires","Buenos Aires","C1414","28","box","normal","flexible","ultima_milla","false","","mendoza","-34.5923","-58.4421"
"Olivos Andinos SRL","30778822334","542614112300","logistica@olivosandinos.com","Av. España 800","Mendoza","Mendoza","M5500","Horacio Núñez","27324455","541199001144","","Av. Córdoba 4100","Ciudad de Buenos Aires","Buenos Aires","C1188","32","box","normal","afternoon","ultima_milla","false","","mendoza","-34.5944","-58.4210"
"Andina Distribución","30889933445","542614223400","despacho@andinaDist.com","Las Heras 700","Mendoza","Mendoza","M5500","Silvia Paredes","31435566","541144112255","silvia.p@trabajo.com","Thames 2000","Ciudad de Buenos Aires","Buenos Aires","C1414","38","box","normal","flexible","ultima_milla","false","","mendoza","-34.5875","-58.4468"
"Andina Distribución","30889933445","542614223400","despacho@andinaDist.com","Las Heras 700","Mendoza","Mendoza","M5500","Eduardo Zárate","29546677","541155223366","","Humboldt 1400","Ciudad de Buenos Aires","Buenos Aires","C1414","30","box","express","morning","ultima_milla","false","","mendoza","-34.5901","-58.4403"
"Vinos Cuyo SA","30990044556","542614334500","","Rivadavia 1200","Mendoza","Mendoza","M5500","Gabriela Sosa","27657788","541166334477","gabriela.s@gmail.com","Av. Medrano 600","Ciudad de Buenos Aires","Buenos Aires","C1178","35","box","normal","flexible","ultima_milla","true","Frágil — vidrio","mendoza","-34.6047","-58.4269"
"Vinos Cuyo SA","30990044556","542614334500","","Rivadavia 1200","Mendoza","Mendoza","M5500","Leonardo Barros","31768899","541177445588","","Av. Callao 1300","Ciudad de Buenos Aires","Buenos Aires","C1023","32","box","normal","morning","ultima_milla","false","","mendoza","-34.5961","-58.3939"
"Agro Mendoza","31001155667","542614445600","ventas@agromendoza.com","Belgrano 1400","Mendoza","Mendoza","M5500","Patricia Cano","24879900","541188556699","patricia.c@empresa.com","Carlos Calvo 2200","Ciudad de Buenos Aires","Buenos Aires","C1148","28","box","normal","flexible","ultima_milla","false","","mendoza","-34.6198","-58.3978"
"Agro Mendoza","31001155667","542614445600","ventas@agromendoza.com","Belgrano 1400","Mendoza","Mendoza","M5500","Julio Palacios","28990011","541199667700","","México 2400","Ciudad de Buenos Aires","Buenos Aires","C1223","33","box","express","morning","ultima_milla","false","","mendoza","-34.6149","-58.4121"
"Bodega del Plata","30667711223","542614001200","ventas@bodegadelplata.com","Av. San Martín 2100","Mendoza","Mendoza","M5500","Irene Acosta","26101122","541144778811","","Perú 780","Ciudad de Buenos Aires","Buenos Aires","C1068","38","box","normal","flexible","ultima_milla","false","","mendoza","-34.6185","-58.3742"
"Olivos Andinos SRL","30778822334","542614112300","logistica@olivosandinos.com","Av. España 800","Mendoza","Mendoza","M5500","Marcos Vega","29212233","541155889922","marcos.v@gmail.com","Defensa 1100","Ciudad de Buenos Aires","Buenos Aires","C1065","30","box","normal","morning","ultima_milla","false","","mendoza","-34.6231","-58.3731"
"Andina Distribución","30889933445","542614223400","despacho@andinaDist.com","Las Heras 700","Mendoza","Mendoza","M5500","Claudia Ferreyra","27323344","541166990033","","Humberto Primo 1600","Ciudad de Buenos Aires","Buenos Aires","C1103","35","box","normal","flexible","ultima_milla","false","","mendoza","-34.6221","-58.3951"
"Vinos Cuyo SA","30990044556","542614334500","","Rivadavia 1200","Mendoza","Mendoza","M5500","Alberto Rojas","31434455","541177001144","alberto.r@empresa.com","Virrey Cevallos 500","Ciudad de Buenos Aires","Buenos Aires","C1081","32","box","normal","afternoon","ultima_milla","false","","mendoza","-34.6178","-58.3889"
"Agro Mendoza","31001155667","542614445600","ventas@agromendoza.com","Belgrano 1400","Mendoza","Mendoza","M5500","Susana Molina","24545566","541188112255","","Estados Unidos 1900","Ciudad de Buenos Aires","Buenos Aires","C1101","28","box","normal","flexible","ultima_milla","false","","mendoza","-34.6212","-58.3993"
"Bodega del Plata","30667711223","542614001200","ventas@bodegadelplata.com","Av. San Martín 2100","Mendoza","Mendoza","M5500","Roberto Gallo","28656677","541199223366","roberto.g@trabajo.com","Av. Las Heras 3000","Ciudad de Buenos Aires","Buenos Aires","C1425","33","box","express","morning","ultima_milla","false","","mendoza","-34.5862","-58.4015"
"Olivos Andinos SRL","30778822334","542614112300","logistica@olivosandinos.com","Av. España 800","Mendoza","Mendoza","M5500","Fernanda Ibarra","26767788","541144334477","","Honduras 5400","Ciudad de Buenos Aires","Buenos Aires","C1414","30","box","normal","flexible","ultima_milla","false","","mendoza","-34.5856","-58.4338"
"Andina Distribución","30889933445","542614223400","despacho@andinaDist.com","Las Heras 700","Mendoza","Mendoza","M5500","Gustavo Peralta","29878899","541155445588","gustavo.p@gmail.com","Av. Cabildo 2400","Ciudad de Buenos Aires","Buenos Aires","C1428","35","box","normal","morning","ultima_milla","false","","mendoza","-34.5605","-58.4585"
"Vinos Cuyo SA","30990044556","542614334500","","Rivadavia 1200","Mendoza","Mendoza","M5500","Alejandra Sosa","27989900","543514112233","alejandra.s@empresa.com","Bv. Illia 700","Córdoba","Córdoba","X5000","12","box","normal","flexible","ultima_milla","false","","mendoza","-31.4232","-64.1812"
"Agro Mendoza","31001155667","542614445600","ventas@agromendoza.com","Belgrano 1400","Mendoza","Mendoza","M5500","Diego Fernández","31090011","543514223344","","Deán Funes 1200","Córdoba","Córdoba","X5000","10","box","normal","morning","ultima_milla","false","","mendoza","-31.4095","-64.1873"
"Bodega del Plata","30667711223","542614001200","ventas@bodegadelplata.com","Av. San Martín 2100","Mendoza","Mendoza","M5500","Graciela Toro","24201122","542614334511","","Las Heras 980","Mendoza","Mendoza","M5500","3.0","box","normal","morning","ultima_milla","false","","mendoza","-32.8858","-68.8308"
"Olivos Andinos SRL","30778822334","542614112300","logistica@olivosandinos.com","Av. España 800","Mendoza","Mendoza","M5500","Esteban Cisneros","28312233","542614445622","esteban.c@gmail.com","Av. San Martín 1800","Mendoza","Mendoza","M5500","2.5","envelope","normal","flexible","ultima_milla","false","","mendoza","-32.8820","-68.8482"
"Andina Distribución","30889933445","542614223400","despacho@andinaDist.com","Las Heras 700","Mendoza","Mendoza","M5500","Lorena Giménez","26423344","542614556733","","Rivadavia 2100","Mendoza","Mendoza","M5500","5.0","box","normal","afternoon","ultima_milla","false","","mendoza","-32.8905","-68.8241"
"Vinos Cuyo SA","30990044556","542614334500","","Rivadavia 1200","Mendoza","Mendoza","M5500","Marcos Fuentes","29534455","542614667844","marcos.f@trabajo.com","Belgrano 1400","Mendoza","Mendoza","M5500","4.0","box","express","morning","ultima_milla","false","","mendoza","-32.8932","-68.8177"
"Agro Mendoza","31001155667","542614445600","ventas@agromendoza.com","Belgrano 1400","Mendoza","Mendoza","M5500","Patricia Herrera","27645566","542614778955","","Granaderos 800","Mendoza","Mendoza","M5500","3.5","box","normal","flexible","ultima_milla","false","","mendoza","-32.8785","-68.8220"
"Bodega del Plata","30667711223","542614001200","ventas@bodegadelplata.com","Av. San Martín 2100","Mendoza","Mendoza","M5500","Nicolás Arce","31756677","542614889066","nicolas.a@empresa.com","Montecaseros 1500","Mendoza","Mendoza","M5500","2.0","envelope","normal","morning","ultima_milla","false","","mendoza","-32.8867","-68.8189"
"Olivos Andinos SRL","30778822334","542614112300","logistica@olivosandinos.com","Av. España 800","Mendoza","Mendoza","M5500","Silvana Quirós","24867788","542614001177","","Primitivo de la Reta 600","Mendoza","Mendoza","M5500","6.0","box","normal","flexible","ultima_milla","false","","mendoza","-32.8853","-68.8374"
"Andina Distribución","30889933445","542614223400","despacho@andinaDist.com","Las Heras 700","Mendoza","Mendoza","M5500","Javier Robles","28978899","542614112288","javier.r@gmail.com","Av. Del Libertador 3000","Mendoza","Mendoza","M5500","4.5","box","normal","afternoon","ultima_milla","false","","mendoza","-32.8786","-68.8449"
"Vinos Cuyo SA","30990044556","542614334500","","Rivadavia 1200","Mendoza","Mendoza","M5500","Mónica Leiva","26089900","542614223399","","Perito Moreno 1200","Mendoza","Mendoza","M5500","3.0","box","normal","flexible","ultima_milla","false","","mendoza","-32.9015","-68.8362"
"Agro Mendoza","31001155667","542614445600","ventas@agromendoza.com","Belgrano 1400","Mendoza","Mendoza","M5500","Tomás Mansilla","29100011","542614334400","tomas.m@empresa.com","San Lorenzo 700","Mendoza","Mendoza","M5500","5.5","box","express","morning","ultima_milla","false","Medicamentos — conservar temperatura","mendoza","-32.8978","-68.8292"
"Bodega del Plata","30667711223","542614001200","ventas@bodegadelplata.com","Av. San Martín 2100","Mendoza","Mendoza","M5500","Elena Cárdenas","27211122","542614445511","","Chile 1500","Mendoza","Mendoza","M5500","2.5","envelope","normal","morning","ultima_milla","false","","mendoza","-32.8843","-68.8331"
"Olivos Andinos SRL","30778822334","542614112300","logistica@olivosandinos.com","Av. España 800","Mendoza","Mendoza","M5500","Roberto Paz","31322233","542614556622","roberto.p@gmail.com","Necochea 2200","Mendoza","Mendoza","M5500","4.0","box","normal","flexible","ultima_milla","false","","mendoza","-32.8919","-68.8103"
"Andina Distribución","30889933445","542614223400","despacho@andinaDist.com","Las Heras 700","Mendoza","Mendoza","M5500","Claudia Villafuerte","24433344","542614667733","","Aristides Villanueva 600","Mendoza","Mendoza","M5500","3.5","box","normal","afternoon","ultima_milla","false","","mendoza","-32.8872","-68.8389"
"Vinos Cuyo SA","30990044556","542614334500","","Rivadavia 1200","Mendoza","Mendoza","M5500","Luciano Ibarra","28544455","542614778844","luciano.i@trabajo.com","Av. Perón 2000","Mendoza","Mendoza","M5500","6.0","box","normal","flexible","ultima_milla","true","Frágil — vino premium","mendoza","-32.9126","-68.8327"
"Agro Mendoza","31001155667","542614445600","ventas@agromendoza.com","Belgrano 1400","Mendoza","Mendoza","M5500","Silvia Cano","26655566","542614889955","","Comodoro Rivadavia 900","Mendoza","Mendoza","M5500","2.8","envelope","normal","morning","ultima_milla","false","","mendoza","-32.9105","-68.8195"
"Bodega del Plata","30667711223","542614001200","ventas@bodegadelplata.com","Av. San Martín 2100","Mendoza","Mendoza","M5500","Fernando García","29766677","542614001066","fernando.g@empresa.com","Gutemberg 1800","Mendoza","Mendoza","M5500","5.0","box","normal","flexible","ultima_milla","false","","mendoza","-32.8893","-68.8451"
"Olivos Andinos SRL","30778822334","542614112300","logistica@olivosandinos.com","Av. España 800","Mendoza","Mendoza","M5500","Verónica Molina","27877788","542614112177","","Av. San Martín 800","Mendoza","Mendoza","M5500","4.5","box","normal","afternoon","ultima_milla","false","","mendoza","-32.8848","-68.8356"
"Andina Distribución","30889933445","542614223400","despacho@andinaDist.com","Las Heras 700","Mendoza","Mendoza","M5500","Ricardo Soria","31988899","542614223288","ricardo.s@gmail.com","Av. España 1200","Mendoza","Mendoza","M5500","3.0","box","express","morning","ultima_milla","false","","mendoza","-32.8951","-68.8405"
"Vinos Cuyo SA","30990044556","542614334500","","Rivadavia 1200","Mendoza","Mendoza","M5500","Nora Barrios","24099900","542614334399","","Rivadavia 800","Mendoza","Mendoza","M5500","2.0","envelope","normal","flexible","ultima_milla","false","","mendoza","-32.8896","-68.8256"
"Agro Mendoza","31001155667","542614445600","ventas@agromendoza.com","Belgrano 1400","Mendoza","Mendoza","M5500","Pablo Acosta","28100011","543754001144","","Av. Mitre 1600","Posadas","Misiones","N3300","20","box","express","morning","ultima_milla","false","","mendoza","-27.3671","-55.8920"
"Bodega del Plata","30667711223","542614001200","ventas@bodegadelplata.com","Av. San Martín 2100","Mendoza","Mendoza","M5500","Daniela Romero","26211122","543754112255","daniela.r@gmail.com","Junín 800","Posadas","Misiones","N3300","18","box","express","morning","ultima_milla","false","","mendoza","-27.3735","-55.8842"
"Olivos Andinos SRL","30778822334","542614112300","logistica@olivosandinos.com","Av. España 800","Mendoza","Mendoza","M5500","Héctor Benítez","29322233","543754223366","","San Martín 1200","Posadas","Misiones","N3300","22","box","express","flexible","ultima_milla","false","","mendoza","-27.3789","-55.8963"
"Andina Distribución","30889933445","542614223400","despacho@andinaDist.com","Las Heras 700","Mendoza","Mendoza","M5500","Karina Dos Santos","27433344","543754334477","karina.d@empresa.com","Córdoba 900","Posadas","Misiones","N3300","16","box","express","morning","ultima_milla","false","","mendoza","-27.3612","-55.8987"
"Vinos Cuyo SA","30990044556","542614334500","","Rivadavia 1200","Mendoza","Mendoza","M5500","Antonio Fleitas","31544455","543754445588","","Entre Ríos 600","Posadas","Misiones","N3300","19","box","express","morning","ultima_milla","false","","mendoza","-27.3658","-55.8891"
"Agro Mendoza","31001155667","542614445600","ventas@agromendoza.com","Belgrano 1400","Mendoza","Mendoza","M5500","Marta Yambay","24655566","543754556699","marta.y@gmail.com","Félix de Azara 1800","Posadas","Misiones","N3300","21","box","express","morning","ultima_milla","false","","mendoza","-27.3820","-55.9014"
"Bodega del Plata","30667711223","542614001200","ventas@bodegadelplata.com","Av. San Martín 2100","Mendoza","Mendoza","M5500","Rubén Gómez","28766677","543754667700","","Quaranta 1100","Posadas","Misiones","N3300","17","box","normal","afternoon","ultima_milla","false","","mendoza","-27.3725","-55.9072"
"Olivos Andinos SRL","30778822334","542614112300","logistica@olivosandinos.com","Av. España 800","Mendoza","Mendoza","M5500","Sofía Medina","26877788","543754778811","sofia.m@empresa.com","Av. Mitre 2200","Posadas","Misiones","N3300","23","box","express","morning","ultima_milla","false","","mendoza","-27.3695","-55.8934"
"Andina Distribución","30889933445","542614223400","despacho@andinaDist.com","Las Heras 700","Mendoza","Mendoza","M5500","Néstor Amarilla","29988899","543754889922","","San Martín 800","Posadas","Misiones","N3300","15","box","express","morning","ultima_milla","false","","mendoza","-27.3748","-55.9051"
"Vinos Cuyo SA","30990044556","542614334500","","Rivadavia 1200","Mendoza","Mendoza","M5500","Graciela López","27099900","543754001033","graciela.l@gmail.com","Junín 1400","Posadas","Misiones","N3300","20","box","express","morning","ultima_milla","false","","mendoza","-27.3667","-55.9008"
"Agro Mendoza","31001155667","542614445600","ventas@agromendoza.com","Belgrano 1400","Mendoza","Mendoza","M5500","Rodrigo Centurión","31110011","543754112144","","Córdoba 1500","Posadas","Misiones","N3300","18","box","express","morning","ultima_milla","false","","mendoza","-27.3631","-55.8960"
